_id,title,author,publisher,price,comment_count
6527832256d1630dc21efcc7,Canım Arkadaşım, Özgür Balpınar,TİMAŞ GENÇ," 68,75",87
6527832356d1630dc21efcc8,Kurt Kanunu, Kemal Tahir ,KETEBE YAYINEVİ," 61,10",10
6527832356d1630dc21efcc9,Uzakların Şarkısı, Kaan Murat Yanık,KETEBE YAYINEVİ," 64,68",23
6527832356d1630dc21efcca,Eşsiz Bir Gezi, Jenny Molendyk Divleli,KARAVAN ÇOCUK," 67,20",56
6527832356d1630dc21efccb,Kral Şakir 11 / Çok Bekledim Seni Yaz Tatili! (Ciltli), Varol Yaşaroğlu,EKSİK PARÇA ÇOCUK," 124,74",41
6527832356d1630dc21efccc,Kabe’yi İnşa Eden Peygamberler - Hz. İbrahim , Merve Gülcemal,DÜŞ DEĞİRMENİ KİTAPLIĞI," 61,88",18
6527832356d1630dc21efccd,Korkusuz Ronaldo, Diego Roberto,DOKUZ YAYINLARI," 33,04",15
6527832356d1630dc21efcce,Herkes İçin Siyer 2.Cilt , Muhammed Emin Yıldırım,PROFİL KİTAP," 125,40",155
6527832356d1630dc21efccf,Kırmızı Saçlı Kadın, Orhan Pamuk,YAPI KREDİ YAYINLARI," 60,90",2.117
6527832456d1630dc21efcd0,Dinozorlar Kitabı (Bez Çanta Hediyeli), Kolektif ,MATARA ÇOCUK," 101,00",9
6527832456d1630dc21efcd1,Genç Werther'in Acıları (Cep Boy) (Tam Metin), Johann Wolfgang Goethe,KARBON KİTAPLAR," 8,90",211
6527832456d1630dc21efcd2,Bize Benzer mi ? / Küçük Merve’nin Büyük Soruları 2, Merve Gülcemal,CEZVE ÇOCUK," 57,42",71
6527832456d1630dc21efcd3,Çocuk Yetiştirme  Ahlakı / Çocuk Yetiştirme  Ahlakı 3, Muhammed Emin Yıldırım,SİYER YAYINLARI," 46,20",192
6527832456d1630dc21efcd4,Bir Delinin Hatıra Defteri - Portre, Nikolay Vasilievich Gogol,KAPRA YAYINCILIK," 9,90",71
6527832456d1630dc21efcd5,Origami ile Kolay Matematik,Y. Matematik Müh. Burcu Şansan,MATARA ÇOCUK," 120,93",29
6527832456d1630dc21efcd6,Yavaşla,Dr. Kemal Sayar,KAPI YAYINLARI," 108,00",100
6527832456d1630dc21efcd7,"Çocuk, Köstebek, Tilki ve At", Charlie Mackesy,MUNDİ," 210,09",78
6527832456d1630dc21efcd8,Çöle İnen Nur (kod39), Necip Fazıl Kısakürek,BÜYÜK DOĞU YAYINLARI," 105,36",868
6527832556d1630dc21efcd9,Kumarbaz, Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 12,90",13
6527832556d1630dc21efcda,Bir Çift Yürek, Marlo Morgan,KLAN YAYINLARI," 90,70",1.134
6527832556d1630dc21efcdb,Aydede Peynir Değildir, Selda Yaşar,CAN ÇOCUK YAYINLARI," 35,75",8
6527832556d1630dc21efcdc,Küçük Kara Balık, Samed Behrengi,KAPRA YAYINCILIK," 12,90",44
6527832556d1630dc21efcdd,Miras, Vigdis Hjorth,SİREN YAYINLARI," 96,72",53
6527832556d1630dc21efcde,Kürk Mantolu Madonna, Sabahattin Ali,KAPRA YAYINCILIK," 9,90",38
6527832556d1630dc21efcdf,Ayasofya'da Bir Gece, Rana Demiriz,TİMAŞ GENÇ," 74,65",95
6527832556d1630dc21efce0,Alem-ı İslam Yazıları, Taha Kılınç,KETEBE YAYINEVİ," 217,14",9
6527832556d1630dc21efce1,Uçurtma Avcısı, Khaled Hosseini,EVEREST YAYINLARI," 132,71",3.235
6527832556d1630dc21efce2,Balonlu Sakız Ağacı / Abur Cubur Peşinde, Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI," 42,90",35
6527832656d1630dc21efce3,Bülbülü Öldürmek, Harper Lee,EPSİLON YAYINEVİ," 100,10",210
6527832656d1630dc21efce4,Öze Dönüş , Eray Hacıosmanoğlu,HAYY KİTAP," 77,00",7
6527832656d1630dc21efce5,Son Söz / Gerçek Tıp Dersleri Cilt 1, Aidin Salih,YİTİK ŞİFA," 49,10",190
6527832656d1630dc21efce6,Kainatın Efendisi Peygamberimizin Hayatı (Tek Cilt), Salih Suruç,NESİL YAYINLARI," 180,10",319
6527832656d1630dc21efce7,Eylül, Mehmed Rauf ,KAPRA YAYINCILIK," 14,90",65
6527832656d1630dc21efce8,Beden Dili , Joe Navarro,ALFA YAYINLARI," 122,37",239
6527832656d1630dc21efce9,Şifa, Eray Hacıosmanoğlu,HAYY KİTAP," 71,50",6
6527832656d1630dc21efcea,Dünyanın Merkezine Yolculuk, Jules Verne,BİLGİ ÇOCUK KİTAPLARI," 31,25",75
6527832656d1630dc21efceb,Küçük Detaylar, Lauren Asher,OLİMPOS YAYINLARI," 87,78",17
6527832656d1630dc21efcec,Açık Ufuk , İbrahim Kalın,İNSAN YAYINLARI," 70,20",129
6527832656d1630dc21efced,Bir Borsa Spekülatörünün Anıları, Edvin Lefevre,SCALA YAYINCILIK," 77,00",170
6527832756d1630dc21efcee,Böyle Küçük Şeyler, Claire Keegan,JAGUAR KİTAP," 45,50",30
6527832756d1630dc21efcef,Devlet Ana, Kemal Tahir ,KETEBE YAYINEVİ," 65,34",13
6527832756d1630dc21efcf0,Kesin İnançlılar, Eric Hoffer,OLVİDO KİTAP," 64,50",158
6527832756d1630dc21efcf1,Allah İçin Sevmek, İmam Gazali,NESİL YAYINLARI," 39,00",11
6527832756d1630dc21efcf2,İyileşen Çocukluğum İyileşen Anneliğim, Hatice Kübra Tongar,HAYY KİTAP," 77,00",263
6527832756d1630dc21efcf3,Ezbere Yaşayanlar , Emrah Safa Gürkan,KRONİK KİTAP," 59,10",157
6527832756d1630dc21efcf4,Hay Bin Yakzan, İbn Tufeyl,YAPI KREDİ YAYINLARI," 32,10",430
6527832756d1630dc21efcf5,İlk Okuma - Uçaklar, Fiona Patchett,TÜBİTAK YAYINLARI," 11,05",85
6527832756d1630dc21efcf6,Benden Vazgeçme Ya Rab, Mehmet  Yıldız,HAYY KİTAP," 77,00",402
6527832756d1630dc21efcf7,Değirmen, Sabahattin Ali,YAPI KREDİ YAYINLARI," 13,46",1.744
